nome;curso;nota
João Vieira Duarte;Engenharia da Computação;8,06
Isabela Oliveira Vieira;Enfermagem;1,28
Felipe Teixeira Batista;Administração;3,86
Olivia Almeida Haddad;Odontologia;1,86
Heitor Klein Ramos;Análise e Desenvolvimento de Sistemas;1,34
Vinicius Haddad Oliveira;Direito;0,79
Mariana Lima Silva;Direito;2,82
Kauã Costa Esteves;Ciência da Computação;6,95
Ingrid Costa Esteves;Ciência da Computação;5,13
Mariana Freitas Gomes;Odontologia;5,60
Marcela Almeida Haddad;Direito;6,17
Giovana Teixeira Batista;Enfermagem;8,85
Yasmin Jardim Queiroz;Direito;9,44
Carla Macedo Teixeira;Engenharia da Computação;7,07
Gabriela Ramos Zanetti;Administração;0,56
Beatriz Uchoa Costa;Enfermagem;9,27
Bruno Lima Silva;Administração;3,98
Olivia Teixeira Batista;Administração;8,57
Gabriela Zanetti Barbosa;Psicologia;2,84
Quezia Silva Araújo;Análise e Desenvolvimento de Sistemas;7,60
João Zanetti Barbosa;Arquitetura e Urbanismo;4,03
Caio Uchoa Costa;Psicologia;3,88
Caio Costa Esteves;Direito;5,18
João Almeida Haddad;Engenharia da Computação;7,78
Yasmin Costa Esteves;Odontologia;5,72
Alice Xavier Freitas;Análise e Desenvolvimento de Sistemas;6,97
Daniel Uchoa Costa;Odontologia;3,54
Paulo Araújo Cardoso;Engenharia da Computação;8,75
Heitor Esteves Lima;Análise e Desenvolvimento de Sistemas;8,47
Pedro Teixeira Batista;Ciência da Computação;3,23
Otávio Cardoso Jardim;Análise e Desenvolvimento de Sistemas;9,37
Ursula Jardim Queiroz;Análise e Desenvolvimento de Sistemas;5,79
Quezia Lima Silva;Engenharia Mecânica;2,51
Wesley Cardoso Jardim;Administração;8,95
Vinicius Almeida Haddad;Odontologia;2,44
Quezia Pereira Xavier;Análise e Desenvolvimento de Sistemas;0,57
Fernando Ferreira Macedo;Arquitetura e Urbanismo;6,49
Bruno Cardoso Jardim;Enfermagem;2,69
Giovana Ferreira Macedo;Arquitetura e Urbanismo;0,41
Ursula Dias Klein;Psicologia;0,43
Bruno Macedo Teixeira;Arquitetura e Urbanismo;2,33
João Uchoa Costa;Análise e Desenvolvimento de Sistemas;7,84
Lucas Cardoso Jardim;Análise e Desenvolvimento de Sistemas;3,80
Wesley Haddad Oliveira;Arquitetura e Urbanismo;7,51
Diego Gomes Nascimento;Odontologia;9,38
Natália Costa Esteves;Psicologia;9,51
Caio Nascimento Uchoa;Direito;0,06
Quezia Teixeira Batista;Odontologia;2,16
Leonardo Cardoso Jardim;Odontologia;2,96
Bruno Gomes Nascimento;Odontologia;5,41
Leonardo Ferreira Macedo;Ciência da Computação;4,54
Olivia Uchoa Costa;Engenharia Mecânica;9,37
Fernando Haddad Oliveira;Psicologia;2,27
Rafael Lima Silva;Administração;4,63
Vinicius Queiroz Yamada;Direito;1,60
Kauã Esteves Lima;Direito;0,74
Lucas Costa Esteves;Direito;0,24
Karen Esteves Lima;Enfermagem;8,07
Ingrid Pereira Xavier;Arquitetura e Urbanismo;5,28
Elisa Macedo Teixeira;Ciência da Computação;1,23
Fernando Pereira Xavier;Odontologia;7,02
Olivia Macedo Teixeira;Administração;2,62
Ingrid Almeida Haddad;Engenharia Mecânica;8,75
Nicolas Araújo Cardoso;Psicologia;6,66
Alice Esteves Lima;Arquitetura e Urbanismo;6,71
Elisa Queiroz Yamada;Odontologia;7,57
Otávio Klein Ramos;Enfermagem;0,93
Felipe Silva Araújo;Engenharia da Computação;1,94
Nicolas Vieira Duarte;Ciência da Computação;1,42
Bruno Esteves Lima;Administração;1,14
Yasmin Ferreira Macedo;Engenharia da Computação;4,25
Karen Macedo Teixeira;Direito;9,87
Sabrina Zanetti Barbosa;Administração;4,18
Lucas Zanetti Barbosa;Enfermagem;2,95
Kauã Lima Silva;Análise e Desenvolvimento de Sistemas;2,80
Ana Silva Araújo;Direito;9,42
Paulo Haddad Oliveira;Enfermagem;7,73
João Silva Araújo;Engenharia da Computação;8,20
Paulo Barbosa Ibrahim;Ciência da Computação;3,12
Leonardo Barbosa Ibrahim;Enfermagem;4,86
Giovana Silva Araújo;Enfermagem;0,76
Lucas Ibrahim Pereira;Administração;9,29
Gabriela Duarte Ferreira;Arquitetura e Urbanismo;3,34
Caio Klein Ramos;Ciência da Computação;4,13
Giovana Pereira Xavier;Odontologia;1,95
Olivia Vieira Duarte;Enfermagem;7,59
Caio Yamada Almeida;Análise e Desenvolvimento de Sistemas;5,74
Pedro Silva Araújo;Enfermagem;0,23
Bruno Nascimento Uchoa;Arquitetura e Urbanismo;5,93
Natália Queiroz Yamada;Enfermagem;4,44
Felipe Uchoa Costa;Análise e Desenvolvimento de Sistemas;1,71
Leonardo Freitas Gomes;Arquitetura e Urbanismo;8,54
Júlia Araújo Cardoso;Odontologia;8,52
Fernando Lima Silva;Odontologia;7,41
Diego Araújo Cardoso;Análise e Desenvolvimento de Sistemas;8,64
Elisa Ramos Zanetti;Direito;9,36
Sabrina Costa Esteves;Administração;3,10
Karen Xavier Freitas;Ciência da Computação;5,49
